City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
98,Nizhniy Baskunchak,RU,48.2198,46.8311,75.56,41,61,6.22,broken clouds,2021-06-06 14:31:59
99,Jiuquan,CN,39.7432,98.5174,69.94,20,97,10.63,overcast clouds,2021-06-06 14:31:59
100,Qaanaaq,GL,77.484,-69.3632,39.42,82,83,4.52,broken clouds,2021-06-06 14:31:59
101,Narsaq,GL,60.9167,-46.05,57.42,68,100,5.14,overcast clouds,2021-06-06 14:32:00
102,Oranjemund,NA,-28.55,16.4333,73.49,31,0,9.1,clear sky,2021-06-06 14:32:00
103,Uray,RU,60.1247,64.7758,66.43,62,95,4.12,light rain,2021-06-06 14:31:50
104,Upernavik,GL,72.7868,-56.1549,36.63,82,13,3.78,few clouds,2021-06-06 14:32:01
105,Indiana,US,40.0003,-86.2503,80.92,68,40,9.22,scattered clouds,2021-06-06 14:32:01
106,Hithadhoo,MV,-0.6,73.0833,83.64,70,77,11.61,broken clouds,2021-06-06 14:32:01
107,Port Hardy,CA,50.6996,-127.4199,48.38,93,90,12.66,overcast clouds,2021-06-06 14:32:02
108,Saint-Ambroise,CA,48.5501,-71.3324,65.89,46,83,2.64,broken clouds,2021-06-06 14:32:02
109,Guiratinga,BR,-16.3494,-53.7583,83.61,41,100,6.82,overcast clouds,2021-06-06 14:32:02
110,Nipawin,CA,53.3668,-104.0009,57.24,88,1,8.05,clear sky,2021-06-06 14:30:14
111,Sudak,UA,44.85,34.9667,65.43,68,99,5.3,overcast clouds,2021-06-06 14:32:03
112,Yellowknife,CA,62.456,-114.3525,43.32,70,75,17.27,broken clouds,2021-06-06 14:30:14
113,Pinega,RU,64.7001,43.3936,58.32,32,67,12.55,broken clouds,2021-06-06 14:32:03
114,Medea,DZ,36.2642,2.7539,66.65,60,32,9.44,scattered clouds,2021-06-06 14:32:03
115,Cape Town,ZA,-33.9258,18.4232,81.1,23,0,4.0,clear sky,2021-06-06 14:28:53
116,Fukue,JP,32.6881,128.8419,69.1,79,100,7.34,overcast clouds,2021-06-06 14:32:04
117,Riyadh,SA,24.6877,46.7219,114.94,5,0,8.05,clear sky,2021-06-06 14:31:08
118,Solano,US,38.2333,-121.9511,66.29,71,1,20.71,clear sky,2021-06-06 14:32:04
119,Altay,CN,47.8667,88.1167,54.61,41,3,3.18,clear sky,2021-06-06 14:32:05
120,North Bend,US,43.4065,-124.2243,50.86,90,90,8.05,overcast clouds,2021-06-06 14:32:05
121,Preobrazheniye,RU,42.9019,133.9064,54.21,82,0,6.87,clear sky,2021-06-06 14:32:05
122,Yarmouth,US,41.7057,-70.2286,89.11,34,1,3.0,clear sky,2021-06-06 14:32:05
123,San Vicente,AR,-26.6167,-54.1333,60.75,99,100,1.68,moderate rain,2021-06-06 14:32:06
124,Awbari,LY,26.5921,12.7805,99.9,8,48,13.02,scattered clouds,2021-06-06 14:32:06
125,Guane,CU,22.2025,-84.0875,87.84,57,25,11.5,scattered clouds,2021-06-06 14:32:06
126,Berdigestyakh,RU,62.0989,126.6992,52.9,49,100,4.9,overcast clouds,2021-06-06 14:32:07
127,Asmara,ER,15.3333,38.9333,72.77,41,18,12.5,few clouds,2021-06-06 14:32:07
128,Kruisfontein,ZA,-34.0033,24.7314,76.89,21,0,7.47,clear sky,2021-06-06 14:32:07
129,Taixing,CN,32.1667,120.0136,81.0,51,0,8.68,light rain,2021-06-06 14:32:08
130,Constitucion,CL,-35.3333,-72.4167,53.04,53,90,4.5,overcast clouds,2021-06-06 14:32:08
131,Severo-Kurilsk,RU,50.6789,156.125,40.82,96,93,12.95,overcast clouds,2021-06-06 14:32:08
132,Salta,AR,-24.7859,-65.4117,57.79,79,75,1.99,broken clouds,2021-06-06 14:30:39
133,Lagoa,PT,39.05,-27.9833,64.26,88,100,14.34,overcast clouds,2021-06-06 14:32:09
134,Meulaboh,ID,4.1363,96.1285,77.81,82,100,2.59,light rain,2021-06-06 14:32:09
135,Virginia Beach,US,36.8529,-75.978,87.04,67,20,4.61,few clouds,2021-06-06 14:29:44
136,Griffith,US,41.5284,-87.4237,83.05,59,1,1.99,clear sky,2021-06-06 14:32:09
137,Port Lincoln,AU,-34.7333,135.8667,59.05,62,68,14.76,broken clouds,2021-06-06 14:32:10
138,Pimentel,PE,-6.8367,-79.9342,68.29,86,90,1.99,overcast clouds,2021-06-06 14:32:10
139,Codrington,AU,-38.2667,141.9667,55.06,75,100,15.88,overcast clouds,2021-06-06 14:32:10
140,Khatanga,RU,71.9667,102.5,34.92,83,100,4.83,overcast clouds,2021-06-06 14:32:11
141,Gamboma,CG,-1.8764,15.8644,85.59,56,45,3.89,scattered clouds,2021-06-06 14:32:11
142,Sur,OM,22.5667,59.5289,88.09,69,0,11.63,clear sky,2021-06-06 14:32:11
143,Khorol,UA,49.7837,33.2783,64.56,78,91,7.87,light rain,2021-06-06 14:32:12
144,Harper,LR,4.375,-7.7169,83.08,75,71,8.5,light rain,2021-06-06 14:32:12
145,Katangli,RU,51.7102,143.2326,38.82,92,100,14.83,overcast clouds,2021-06-06 14:32:12
146,Esperance,AU,-33.8667,121.9,57.04,72,43,24.99,scattered clouds,2021-06-06 14:32:13
