City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
283,Toamasina,MG,73.4,light rain,-18.1667,49.3833,
284,Zabol,AF,84.22,clear sky,32.25,67.25,
285,Buala,SB,79.93,light rain,-8.145,159.5921,
286,Tautira,PF,77.02,clear sky,-17.7333,-149.15,
287,Nizhniy Kuranakh,RU,63.82,scattered clouds,58.8353,125.4869,
288,Sao Filipe,CV,77.16,broken clouds,14.8961,-24.4956,
289,Koltsovo,RU,69.19,moderate rain,54.9376,83.1825,
290,Price,US,74.46,clear sky,39.5994,-110.8107,
291,Eyl,SO,86.04,clear sky,7.9803,49.8164,
292,Casablanca,MA,84.42,scattered clouds,33.5928,-7.6192,
293,Thinadhoo,MV,83.46,few clouds,0.5333,72.9333,
295,Arraial Do Cabo,BR,82.36,clear sky,-22.9661,-42.0278,
296,Hambantota,LK,82.74,clear sky,6.1241,81.1185,
297,Bondo,CD,75.07,overcast clouds,3.8146,23.6866,
300,Camacari,BR,82.17,few clouds,-12.6975,-38.3242,
301,Takaungu,KE,82.89,clear sky,-3.6837,39.8566,
302,El Alto,PE,69.46,overcast clouds,-4.2714,-81.2147,
303,Kendari,ID,76.17,scattered clouds,-3.945,122.4989,
304,Hanko,FI,76.33,broken clouds,59.8333,22.95,
306,Cabra,ES,89.04,clear sky,37.4725,-4.4421,
307,Basco,PH,82.54,overcast clouds,20.4487,121.9702,
308,Lodja,CD,81.9,overcast clouds,-3.4833,23.4333,
310,Linqiong,CN,80.42,light rain,30.4159,103.4609,
312,Xingyi,CN,63.03,light rain,24.1877,102.81700000000001,
313,Waspan,NI,83.88,broken clouds,14.7419,-83.9717,
314,Sao Sebastiao,BR,83.93,overcast clouds,-23.76,-45.4097,
315,Balkanabat,TM,82.83,clear sky,39.5108,54.3671,
316,Huarmey,PE,68.49,broken clouds,-10.0681,-78.1522,
317,Oktyabrskiy,RU,67.82,few clouds,54.4815,53.471000000000004,
318,Namatanai,PG,79.52,overcast clouds,-3.6667,152.4333,
320,Adeje,ES,75.87,few clouds,28.1227,-16.726,
